date,observation.name,scan.number,focal.monkey,in.proximity,focal.activity,partners.activity (sequential),time
2022-06-24,0J4 2022-06-24 07:35:26 Daniel Phillips,1,0J4,0J4,Rest,NA,2022-06-24T07:35:26Z
2022-06-24,0J4 2022-06-24 07:35:26 Daniel Phillips,2,0J4,0J4,Rest,NA,2022-06-24T07:40:26Z
2022-06-24,0J4 2022-06-24 07:35:26 Daniel Phillips,3,0J4,0J4,Travel,NA,2022-06-24T07:45:26Z
2022-07-06,0J4 2022-07-06 09:29:53 Daniel Phillips,1,0J4,0J4,Rest,NA,2022-07-06T09:29:53Z
2022-07-06,0J4 2022-07-06 09:29:53 Daniel Phillips,2,0J4,0J4,Rest,NA,2022-07-06T09:34:54Z
2022-07-06,0J4 2022-07-06 09:29:53 Daniel Phillips,3,0J4,0J4,Travel,NA,2022-07-06T09:39:53Z
2022-07-13,0J4 2022-07-13 13:17:23 Daniel Phillips,1,0J4,0J4,Rest,NA,2022-07-13T13:17:23Z
2022-07-13,0J4 2022-07-13 13:17:23 Daniel Phillips,2,0J4,0J4,Rest,NA,2022-07-13T13:22:23Z
2022-07-13,0J4 2022-07-13 13:17:23 Daniel Phillips,3,0J4,0J4,Rest,NA,2022-07-13T13:27:23Z
2022-08-30,0J4 2022-08-30 12:17:32 Daniel Phillips,1,0J4,0J4,Travel,NA,2022-08-30T12:17:32Z
2022-08-30,0J4 2022-08-30 12:17:32 Daniel Phillips,2,0J4,0J4,Feed,NA,2022-08-30T12:22:32Z
2022-08-30,0J4 2022-08-30 12:17:32 Daniel Phillips,3,0J4,0J4,Feed,NA,2022-08-30T12:27:32Z
2022-09-01,0J4 2022-09-01 07:48:59 Daniel Phillips,1,0J4,0J4,Rest,NA,2022-09-01T07:48:59Z
2022-09-01,0J4 2022-09-01 07:48:59 Daniel Phillips,2,0J4,0J4,Travel,NA,2022-09-01T07:53:59Z
2022-09-01,0J4 2022-09-01 07:48:59 Daniel Phillips,3,0J4,0J4,Rest,NA,2022-09-01T07:58:59Z
2022-09-14,0J4 2022-09-14 12:44:12 Daniel Phillips,1,0J4,0J4,Rest,NA,2022-09-14T12:44:12Z
2022-09-14,0J4 2022-09-14 12:44:12 Daniel Phillips,2,0J4,0J4,Rest,NA,2022-09-14T12:49:12Z
2022-09-14,0J4 2022-09-14 12:44:12 Daniel Phillips,3,0J4,0J4,Rest,NA,2022-09-14T12:54:12Z
2022-11-28,0J4 2022-11-28 09:30:47 Daniel Phillips,1,0J4,0J4,Feed,NA,2022-11-28T09:30:47Z
2022-11-28,0J4 2022-11-28 09:30:47 Daniel Phillips,2,0J4,0J4,Travel,NA,2022-11-28T09:35:47Z
2022-11-28,0J4 2022-11-28 09:30:47 Daniel Phillips,3,0J4,0J4,Travel,NA,2022-11-28T09:40:47Z
2022-12-08,0J4 2022-12-08 08:47:30 Daniel Phillips,1,0J4,0J4,Travel,NA,2022-12-08T08:47:30Z
2022-12-08,0J4 2022-12-08 08:47:30 Daniel Phillips,2,0J4,0J4,Travel,NA,2022-12-08T08:52:30Z
2022-12-08,0J4 2022-12-08 08:47:30 Daniel Phillips,3,0J4,0J4,Feed,NA,2022-12-08T08:57:30Z
2022-02-21,0M1 2022-02-21 08:10:21 Daniel Phillips,1,0M1,"8R7, 0M1",Feed,Feed,2022-02-21T08:10:21Z
2022-02-21,0M1 2022-02-21 08:10:21 Daniel Phillips,2,0M1,0M1,Travel,NA,2022-02-21T08:15:21Z
2022-02-21,0M1 2022-02-21 08:10:21 Daniel Phillips,3,0M1,"0M1, 5O0",Feed,Feed,2022-02-21T08:20:21Z
2022-03-01,0M1 2022-03-01 11:19:11 Daniel Phillips,1,0M1,0M1,Rest,NA,2022-03-01T11:19:11Z
2022-03-01,0M1 2022-03-01 11:19:11 Daniel Phillips,2,0M1,0M1,Rest,NA,2022-03-01T11:24:11Z
2022-03-01,0M1 2022-03-01 11:19:11 Daniel Phillips,3,0M1,0M1,Rest,NA,2022-03-01T11:29:11Z
2022-03-14,0M1 2022-03-14 07:57:34 Daniel Phillips,1,0M1,0M1,Feed,NA,2022-03-14T07:57:34Z
2022-03-14,0M1 2022-03-14 07:57:34 Daniel Phillips,2,0M1,"0M1, 1Q7",Feed,Feed,2022-03-14T08:02:34Z
2022-03-14,0M1 2022-03-14 07:57:34 Daniel Phillips,3,0M1,0M1,Feed,NA,2022-03-14T08:07:34Z
2022-03-17,0M1 2022-03-17 12:19:25 Daniel Phillips,1,0M1,0M1,Rest,NA,2022-03-17T12:19:25Z
2022-03-17,0M1 2022-03-17 12:19:25 Daniel Phillips,2,0M1,"0M1, 0S6",Passive contact,Passive contact,2022-03-17T12:24:25Z
2022-03-17,0M1 2022-03-17 12:19:25 Daniel Phillips,3,0M1,"0M1, 0S6",Passive contact,Passive contact,2022-03-17T12:29:25Z
2022-03-28,0M1 2022-03-28 08:07:08 Daniel Phillips,1,0M1,0M1,Rest,NA,2022-03-28T08:07:08Z
2022-03-28,0M1 2022-03-28 08:07:08 Daniel Phillips,2,0M1,0M1,Travel,NA,2022-03-28T08:12:08Z
